Time,Hour,Open,High,Low,Close,100,300,Long,Short
2017-06-15 09:00,9,1.11795,1.11851,1.1156,1.1156,1.12026,,0,1
2017-06-15 10:00,10,1.11605,1.11696,1.11585,1.11585,1.12023,,0,1
2017-06-15 11:00,11,1.11662,1.11721,1.11535,1.11535,1.12021,,0,1
2017-06-15 12:00,12,1.11624,1.11688,1.11493,1.11493,1.12019,,0,1
2017-06-15 13:00,13,1.11518,1.11554,1.11433,1.11433,1.12016,,0,1
2017-06-15 14:00,14,1.11478,1.11522,1.11323,1.11323,1.12012,,0,1
2017-06-15 15:00,15,1.11489,1.1158,1.11487,1.11487,1.1201,,0,1
2017-06-15 16:00,16,1.11515,1.11515,1.11396,1.11396,1.12007,,0,1
2017-06-15 17:00,17,1.11481,1.11501,1.11422,1.11422,1.12004,,0,1
2017-06-15 18:00,18,1.11432,1.11547,1.11429,1.11429,1.12,,0,1
2017-06-15 19:00,19,1.11537,1.11579,1.11442,1.11442,1.11996,,0,1
2017-06-15 20:00,20,1.11452,1.11503,1.11424,1.11424,1.11991,,0,1
2017-06-15 21:00,21,1.11465,1.11509,1.11439,1.11439,1.11986,,0,1
2017-06-15 22:00,22,1.1147,1.11508,1.11451,1.11451,1.11981,,0,1
2017-06-15 23:00,23,1.11467,1.11497,1.11449,1.11449,1.11976,,0,1
2017-06-16 00:00,0,1.11491,1.11556,1.11453,1.11453,1.11971,,0,1
2017-06-16 01:00,1,1.11538,1.11553,1.11515,1.11515,1.11966,,0,1
2017-06-16 02:00,2,1.1153,1.11535,1.11458,1.11458,1.1196,,0,1
2017-06-16 03:00,3,1.11506,1.11506,1.11461,1.11461,1.11955,,0,1
2017-06-16 04:00,4,1.1146,1.11467,1.11417,1.11417,1.11949,,0,1
2017-06-16 05:00,5,1.1144,1.11462,1.11386,1.11386,1.11943,,0,1
2017-06-16 06:00,6,1.11426,1.1159,1.11396,1.11396,1.11937,,0,1
2017-06-16 07:00,7,1.11537,1.11672,1.11517,1.11517,1.11932,,0,1
2017-06-16 08:00,8,1.11672,1.1175,1.11651,1.11651,1.11928,,0,1
2017-06-16 09:00,9,1.11726,1.11838,1.11698,1.11698,1.11925,,0,1
2017-06-16 10:00,10,1.11703,1.11816,1.11703,1.11703,1.11921,,0,1
2017-06-16 11:00,11,1.11781,1.1181,1.11573,1.11573,1.11916,,0,1
2017-06-16 12:00,12,1.11601,1.11831,1.11601,1.11601,1.11911,,0,1
2017-06-16 13:00,13,1.11727,1.1177,1.11654,1.11654,1.11906,,0,1
2017-06-16 14:00,14,1.11767,1.11999,1.11742,1.11742,1.11902,,0,1
2017-06-16 15:00,15,1.11985,1.11999,1.11869,1.11869,1.119,,0,1
2017-06-16 16:00,16,1.11931,1.11933,1.11862,1.11862,1.11897,,0,1
2017-06-16 17:00,17,1.11885,1.11954,1.11876,1.11876,1.11895,,0,1
2017-06-16 18:00,18,1.11957,1.11992,1.1193,1.1193,1.11895,,0,1
2017-06-16 19:00,19,1.11939,1.12014,1.11937,1.11937,1.11895,,0,1
2017-06-16 20:00,20,1.12007,1.12017,1.11928,1.11928,1.11895,,0,1
